"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"3023000200","2026","3023054300","003","엘리프송촌A경로당","580","","30","","","","2026-05-18 09:05:24.000","2026-06-29 15:04:54.000","","대전광역시 대덕구 계족산로52번길 50 (엘리프송촌 더 파크 아파트)","","","","","","127.43911","36.359972","","","","","","001"
"4673000285","2026","1273035000","003","온동남성경로당","1274-1","71.9","20","2","1","","2026-05-29 16:27:48.000","2026-05-29 16:27:48.000","","전남광주통합특별시 구례군 광의면 온동1길 17","","","","","","127.439684","35.280205","","","","","","001"
"4482500214","2026","4482535000","003","신두1리(신일)경로당","248-4","101.53","43","1","3","","2026-06-15 18:51:34.000","2026-08-05 11:25:37.000","","충청남도 태안군 원북면 신두로 197 (신두1리다목적회관)","","","N","","","126.225063","36.831631","","","","","","001"
"4143000158","2026","4143055000","004","농협은행북의왕지점","842","100","12","","5","","2026-06-16 10:03:52.000","2026-06-16 10:05:18.000","","경기도 의왕시 포일로 20 (래미안에버하임아파트 상가, 농협은행)","","","","","","126.975438","37.388394","","0900","1600","","","001"
"4150000564","2026","4150053000","004","서울동경기인삼농협본점무더위쉼터","628-1","33","10","0","3","","2026-06-22 10:56:36.000","2026-06-22 10:56:36.000","","경기도 이천시 서이천로 952","","","","","","127.407311","37.29972","","0900","1600","","","001"
"5221000495","2026","5221042000","003","둔산경로당","603-1","","62","","","","2026-04-15 09:58:00.000","2026-08-11 17:25:45.000","","전북특별자치도 김제시 금구면 낙산3길 135-4","","","","","","127.010971","35.801421","","","","","","001"
"4822000413","2026","4822066500","003","유성경로당","645","","41","2","1","","2026-04-23 10:49:10.000","2026-04-23 10:49:10.000","","경상남도 통영시 미수로 64-10 (유성타워맨션)","","","Y","","","128.397357","34.822049","","","","","","001"
"2647000087","2026","2647068000","001","연제구가족센터","643-4","774.84","15","","1","","2026-06-22 19:50:05.000","2026-07-01 14:42:50.000","","부산광역시 연제구 쌍미천로125번길 11 (연제구가족센터)","","","","","","129.086414","35.183711","","0900","1800","","","002"
"5221000486","2026","5221042000","003","상학경로당","399-3","","23","","","","2026-04-14 16:40:48.000","2026-04-14 16:40:48.000","","전북특별자치도 김제시 금구면 봉두1길 53","","","","","","127.008395","35.772519","","","","","","001"
"5221000488","2026","5221042000","003","상사경로당","468","","28","","","","2026-04-14 16:42:54.000","2026-04-14 16:42:54.000","","전북특별자치도 김제시 금구면 상사길 79","","","","","","126.990321","35.811533","","","","","","001"
